First Name,Last Name,Position,Season Type,From,To,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS
Steve,Johnson,C-F,Regular Season,(1981-82),(1990-91),626,327,"13,618","2,841","4,965",57%,0,4,0%,"1,663","2,622",63%,"1,193","2,257","3,450",777,290,530,"1,477","2,409","7,345",,---,---,21.75,4.54,7.93,57%,0.00,0.01,0%,2.66,4.19,63%,1.91,3.61,5.51,1.24,0.46,0.85,2.36,3.85,11.73
Dennis,Johnson,G,Regular Season,(1976-77),(1989-90),"1,100",673,"35,954","5,832","13,100",45%,80,464,17%,"3,791","4,754",80%,"1,459","2,790","4,249","5,499","1,477",675,"2,448","3,087","15,535",,---,---,32.69,5.30,11.91,45%,0.07,0.42,17%,3.45,4.32,80%,1.33,2.54,3.86,5.00,1.34,0.61,2.23,2.81,14.12
Marques,Johnson,F-G,Regular Season,(1977-78),(1989-90),691,359,"23,694","5,733","11,065",52%,14,92,15%,"2,412","3,265",74%,"1,829","2,988","4,817","2,502",888,525,"1,627","1,766","13,892",,---,---,34.29,8.30,16.01,52%,0.02,0.13,15%,3.49,4.73,74%,2.65,4.32,6.97,3.62,1.29,0.76,2.35,2.56,20.10
Eric,Johnson,G,Regular Season,(1989-90),(1989-90),48,2,272,20,84,24%,1,6,17%,13,17,76%,8,20,28,64,17,2,26,49,54,,---,---,5.67,0.42,1.75,24%,0.02,0.13,17%,0.27,0.35,76%,0.17,0.42,0.58,1.33,0.35,0.04,0.54,1.02,1.13
Clemon,Johnson,C-F,Regular Season,(1978-79),(1987-88),761,98,"13,310","1,699","3,454",49%,0,5,0%,704,"1,134",62%,"1,276","2,232","3,508",744,349,717,767,"1,666","4,102",,---,---,17.49,2.23,4.54,49%,0.00,0.01,0%,0.93,1.49,62%,1.68,2.93,4.61,0.98,0.46,0.94,1.01,2.19,5.39
Kannard,Johnson,F,Regular Season,(1987-88),(1987-88),4,0,12,1,3,33%,0,0,,0,0,,0,0,0,0,1,0,2,1,2,,---,---,3.00,0.25,0.75,33%,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.25,0.00,0.50,0.25,0.50
Eddie L.,Johnson,G,Regular Season,(1977-78),(1986-87),675,232,"19,975","4,015","8,436",48%,104,319,33%,"2,029","2,564",79%,470,"1,052","1,522","3,436",761,89,"1,717","1,706","10,163",,---,---,29.59,5.95,12.50,48%,0.15,0.47,33%,3.01,3.80,79%,0.70,1.56,2.25,5.09,1.13,0.13,2.54,2.53,15.06
Steffond,Johnson,F,Regular Season,(1986-87),(1986-87),29,0,234,27,64,42%,0,3,0%,20,38,53%,15,28,43,5,9,2,18,55,74,,---,---,8.07,0.93,2.21,42%,0.00,0.10,0%,0.69,1.31,53%,0.52,0.97,1.48,0.17,0.31,0.07,0.62,1.90,2.55
Mickey,Johnson,F,Regular Season,(1974-75),(1985-86),904,125,"25,005","4,733","10,544",45%,29,176,16%,"3,253","4,066",80%,"2,201","4,264","6,465","2,677","1,025",632,"2,050","3,101","12,748",,---,---,27.66,5.24,11.66,45%,0.03,0.19,16%,3.60,4.50,80%,2.43,4.72,7.15,2.96,1.13,0.70,2.27,3.43,14.10
George T.,Johnson,C-F,Regular Season,(1972-73),(1985-86),904,62,"18,102","1,802","3,995",45%,1,2,50%,764,"1,101",69%,"1,960","3,789","5,887",929,456,"2,082",872,"2,707","4,369",,---,---,20.02,1.99,4.42,45%,0.00,0.00,50%,0.85,1.22,69%,2.17,4.19,6.51,1.03,0.50,2.30,0.96,2.99,4.83
George L.,Johnson,F-C,Regular Season,(1978-79),(1985-86),464,91,"9,878","1,704","3,684",46%,21,111,19%,785,"1,008",78%,831,"1,779","2,610",817,432,282,879,"1,349","4,214",,---,---,21.29,3.67,7.94,46%,0.05,0.24,19%,1.69,2.17,78%,1.79,3.83,5.63,1.76,0.93,0.61,1.89,2.91,9.08
Ken H.,Johnson,F,Regular Season,(1985-86),(1985-86),64,0,815,113,214,53%,0,0,,37,85,44%,90,153,243,19,13,22,59,147,263,,---,---,12.73,1.77,3.34,53%,0.00,0.00,,0.58,1.33,44%,1.41,2.39,3.80,0.30,0.20,0.34,0.92,2.30,4.11
Reggie,Johnson,F-C,Regular Season,(1980-81),(1983-84),305,60,"5,979","1,065","2,109",50%,1,7,14%,433,605,72%,432,806,"1,238",262,128,169,393,913,"2,564",,---,---,19.60,3.49,6.91,50%,0.00,0.02,14%,1.42,1.98,72%,1.42,2.64,4.06,0.86,0.42,0.55,1.29,2.99,8.41
Clay,Johnson,G,Regular Season,(1981-82),(1983-84),80,0,688,84,205,41%,1,3,33%,55,76,72%,54,39,93,45,33,9,44,99,224,,---,---,8.60,1.05,2.56,41%,0.01,0.04,33%,0.69,0.95,72%,0.68,0.49,1.16,0.56,0.41,0.11,0.55,1.24,2.80
John,Johnson,F,Regular Season,(1970-71),(1981-82),869,1,"25,681","4,575","10,254",45%,0,1,0%,"2,050","2,633",78%,"1,021","2,121","4,778","3,285",487,235,917,"2,505","11,200",,---,---,29.55,5.26,11.80,45%,0.00,0.00,0%,2.36,3.03,78%,1.17,2.44,5.50,3.78,0.56,0.27,1.06,2.88,12.89
Ollie,Johnson,F,Regular Season,(1972-73),(1981-82),690,0,"14,554","2,235","4,505",50%,3,20,15%,868,"1,049",83%,599,"1,264","2,280","1,212",455,224,355,"1,503","5,341",,---,---,21.09,3.24,6.53,50%,0.00,0.03,15%,1.26,1.52,83%,0.87,1.83,3.30,1.76,0.66,0.32,0.51,2.18,7.74
Lee,Johnson,F,Regular Season,(1980-81),(1980-81),12,,90,7,25,28%,0,0,,3,5,60%,6,16,22,1,0,5,7,18,17,,---,---,7.50,0.58,2.08,28%,0.00,0.00,,0.25,0.42,60%,0.50,1.33,1.83,0.08,0.00,0.42,0.58,1.50,1.42
Cheese,Johnson,F-G,Regular Season,(1979-80),(1979-80),9,,53,12,30,40%,0,0,,3,5,60%,6,8,14,2,1,0,4,11,27,,---,---,5.89,1.33,3.33,40%,0.00,0.00,,0.33,0.56,60%,0.67,0.89,1.56,0.22,0.11,0.00,0.44,1.22,3.00
Charles (2),Johnson,G,Regular Season,(1972-73),(1978-79),521,,"9,972","1,935","4,507",43%,---,---,---,371,491,76%,423,763,"1,318",973,534,40,160,"1,022","4,241",,---,---,19.14,3.71,8.65,43%,---,---,---,0.71,0.94,76%,0.81,1.46,2.53,1.87,1.02,0.08,0.31,1.96,8.14
Larry,Johnson,G,Regular Season,(1977-78),(1977-78),4,,38,3,13,23%,---,---,---,0,2,0%,1,4,5,7,5,2,3,3,6,,---,---,9.50,0.75,3.25,23%,---,---,---,0.00,0.50,0%,0.25,1.00,1.25,1.75,1.25,0.50,0.75,0.75,1.50
George E.,Johnson,C,Regular Season,(1970-71),(1973-74),69,,744,84,190,44%,---,---,---,22,51,43%,20,41,220,22,8,8,---,142,190,,---,---,10.78,1.22,2.75,44%,---,---,---,0.32,0.74,43%,0.29,0.59,3.19,0.32,0.12,0.12,---,2.06,2.75
Gus,Johnson,F-C,Regular Season,(1963-64),(1972-73),581,,"20,140","4,126","9,383",44%,---,---,---,"1,692","2,420",70%,---,---,"7,379","1,541",---,---,---,"2,037","9,944",,---,---,34.66,7.10,16.15,44%,---,---,---,2.91,4.17,70%,---,---,12.70,2.65,---,---,---,3.51,17.12
Rich,Johnson,C,Regular Season,(1968-69),(1970-71),97,,"1,074",200,442,45%,---,---,---,57,93,61%,---,---,265,39,---,---,---,198,457,,---,---,11.07,2.06,4.56,45%,---,---,---,0.59,0.96,61%,---,---,2.73,0.40,---,---,---,2.04,4.71
Neil,Johnson,F-C,Regular Season,(1966-67),(1969-70),202,---,"2,263",300,705,43%,---,---,---,198,323,61%,---,---,685,217,---,---,---,417,798,,---,---,11.20,1.49,3.49,43%,---,---,---,0.98,1.60,61%,---,---,3.39,1.07,---,---,---,2.06,3.95
Andy,Johnson,F-G,Regular Season,(1958-59),(1961-62),292,---,"6,772","1,083","2,762",39%,---,---,---,681,"1,126",60%,---,---,"1,190",675,---,---,---,868,"2,847",,---,---,23.19,3.71,9.46,39%,---,---,---,2.33,3.86,60%,---,---,4.08,2.31,---,---,---,2.97,9.75
Ron,Johnson,F,Regular Season,(1960-61),(1960-61),14,---,103,13,43,30%,---,---,---,11,17,65%,---,---,29,2,---,---,---,10,37,,---,---,7.36,0.93,3.07,30%,---,---,---,0.79,1.21,65%,---,---,2.07,0.14,---,---,---,0.71,2.64
Arnie,Johnson,F-C,Regular Season,(1948-49),(1952-53),332,---,"4,142",808,"1,934",42%,---,---,---,"1,272","1,741",73%,---,---,"1,272",731,---,---,---,"1,338","2,888",,---,---,12.48,2.43,5.83,42%,---,---,---,3.83,5.24,73%,---,---,3.83,2.20,---,---,---,4.03,8.70
Ralph,Johnson,G,Regular Season,(1949-50),(1952-53),204,---,"2,295",692,"2,117",33%,---,---,---,321,434,74%,---,---,498,569,---,---,---,703,"1,705",,---,---,11.25,3.39,10.38,33%,---,---,---,1.57,2.13,74%,---,---,2.44,2.79,---,---,---,3.45,8.36
Harold,Johnson,C,Regular Season,(1946-47),(1946-47),27,---,---,4,20,20%,---,---,---,7,14,50%,---,---,---,11,---,---,---,13,15,,---,---,---,0.15,0.74,20%,---,---,---,0.26,0.52,50%,---,---,---,0.41,---,---,---,0.48,0.56
Darius,Johnson-Odom,G,Regular Season,(2012-13),(2013-14),7,0,21,0,11,0%,0,4,0%,0,2,0%,1,5,6,2,1,0,2,3,0,,---,---,3.00,0.00,1.57,0%,0.00,0.57,0%,0.00,0.29,0%,0.14,0.71,0.86,0.29,0.14,0.00,0.29,0.43,0.00
Nate,Johnston,F,Regular Season,(1989-90),(1989-90),21,0,87,18,48,38%,1,4,25%,9,13,69%,13,10,23,1,3,8,6,11,46,,---,---,4.14,0.86,2.29,38%,0.05,0.19,25%,0.43,0.62,69%,0.62,0.48,1.10,0.05,0.14,0.38,0.29,0.52,2.19
Neil,Johnston,C,Regular Season,(1951-52),(1958-59),516,---,"18,298","3,303","7,435",44%,---,---,---,"3,417","4,447",77%,---,---,"5,856","1,269",---,---,---,"1,681","10,023",,---,---,35.46,6.40,14.41,44%,---,---,---,6.62,8.62,77%,---,---,11.35,2.46,---,---,---,3.26,19.42
Jim,Johnstone,C-F,Regular Season,(1982-83),(1982-83),23,0,191,11,30,37%,0,0,,9,20,45%,15,31,46,11,3,7,15,33,31,,---,---,8.30,0.48,1.30,37%,0.00,0.00,,0.39,0.87,45%,0.65,1.35,2.00,0.48,0.13,0.30,0.65,1.43,1.35
Nikola,Jokic,C,Regular Season,(2015-16),(2019-20),381,340,"11,054","2,486","4,743",52%,347,"1,028",34%,"1,143","1,384",83%,982,"2,672","3,654","2,097",422,265,959,"1,084","6,462",,---,---,29.01,6.52,12.45,52%,0.91,2.70,34%,3.00,3.63,83%,2.58,7.01,9.59,5.50,1.11,0.70,2.52,2.85,16.96
Howie,Jolliff,F-C,Regular Season,(1960-61),(1962-63),138,---,"1,739",165,449,37%,---,---,---,58,110,53%,---,---,586,112,---,---,---,277,388,,---,---,12.60,1.20,3.25,37%,---,---,---,0.42,0.80,53%,---,---,4.25,0.81,---,---,---,2.01,2.81
Tyus,Jones,G,Regular Season,(2015-16),(2019-20),312,40,"5,606",663,"1,540",43%,174,505,34%,233,290,80%,65,418,483,"1,108",313,25,232,315,"1,733",,---,---,17.97,2.13,4.94,43%,0.56,1.62,34%,0.75,0.93,80%,0.21,1.34,1.55,3.55,1.00,0.08,0.74,1.01,5.55
Derrick,Jones,F,Regular Season,(2016-17),(2019-20),171,46,"3,318",433,847,51%,71,252,28%,214,310,69%,222,368,590,120,122,106,93,340,"1,151",,---,---,19.40,2.53,4.95,51%,0.42,1.47,28%,1.25,1.81,69%,1.30,2.15,3.45,0.70,0.71,0.62,0.54,1.99,6.73
Damian,Jones,C,Regular Season,(2016-17),(2019-20),104,49,"1,471",193,290,67%,2,9,22%,92,136,68%,119,199,318,65,40,72,54,241,480,,---,---,14.14,1.86,2.79,67%,0.02,0.09,22%,0.88,1.31,68%,1.14,1.91,3.06,0.63,0.38,0.69,0.52,2.32,4.62
Terrence,Jones,F,Regular Season,(2012-13),(2018-19),234,118,"5,562",985,"1,967",50%,93,313,30%,368,593,62%,395,939,"1,334",237,146,270,219,392,"2,431",,---,---,23.77,4.21,8.41,50%,0.40,1.34,30%,1.57,2.53,62%,1.69,4.01,5.70,1.01,0.62,1.15,0.94,1.68,10.39
Jalen,Jones,F,Regular Season,(2017-18),(2018-19),32,0,395,52,130,40%,20,54,37%,31,46,67%,24,48,72,11,14,3,15,49,155,,---,---,12.34,1.63,4.06,40%,0.63,1.69,37%,0.75,1.19,63%,0.75,1.50,2.25,0.34,0.44,0.09,0.47,1.53,4.84
Jemerrio,Jones,F,Regular Season,(2018-19),(2018-19),6,2,143,12,33,36%,2,10,20%,1,2,50%,16,33,49,13,7,5,5,10,27,,---,---,23.83,2.00,5.50,36%,0.33,1.67,20%,0.17,0.33,50%,2.67,5.50,8.17,2.17,1.17,0.83,0.83,1.67,4.50
James,Jones,F,Regular Season,(2003-04),(2016-17),709,93,"11,098","1,205","3,003",40%,776,"1,937",40%,531,632,84%,226,"1,052","1,278",366,227,218,231,930,"3,717",,---,---,15.65,1.70,4.24,40%,1.09,2.73,40%,0.75,0.89,84%,0.32,1.48,1.80,0.52,0.32,0.31,0.33,1.31,5.24
Dahntay,Jones,G,Regular Season,(2003-04),(2016-17),624,157,"9,799","1,203","2,739",44%,107,325,33%,840,"1,118",75%,252,830,"1,082",529,261,144,507,"1,206","3,353",,---,---,15.70,1.93,4.39,44%,0.17,0.52,33%,1.35,1.79,75%,0.40,1.33,1.73,0.85,0.42,0.23,0.81,1.93,5.37
Perry,Jones,F,Regular Season,(2012-13),(2014-15),143,21,"1,675",195,464,42%,36,123,29%,62,94,66%,46,206,252,54,36,33,60,135,488,,---,---,11.71,1.36,3.24,42%,0.25,0.86,29%,0.43,0.66,66%,0.32,1.44,1.76,0.38,0.25,0.23,0.42,0.94,3.41
Solomon,Jones,F,Regular Season,(2006-07),(2013-14),281,12,"3,092",301,645,47%,1,9,11%,236,329,72%,257,397,654,99,58,154,161,554,839,,---,---,11.00,1.07,2.30,47%,0.00,0.03,11%,0.84,1.17,72%,0.91,1.41,2.33,0.35,0.21,0.55,0.57,1.97,2.99
Dominique,Jones,G,Regular Season,(2010-11),(2012-13),80,4,741,83,227,37%,2,21,10%,78,107,73%,33,81,114,144,29,10,76,64,246,,---,---,9.26,1.04,2.84,37%,0.03,0.26,10%,0.98,1.34,73%,0.41,1.01,1.43,1.80,0.36,0.13,0.95,0.80,3.08
DeQuan,Jones,F,Regular Season,(2012-13),(2012-13),63,17,803,95,218,44%,9,35,26%,34,51,67%,17,88,105,16,19,22,30,55,233,,---,---,12.75,1.51,3.46,44%,0.14,0.56,26%,0.54,0.81,67%,0.27,1.40,1.67,0.25,0.30,0.35,0.48,0.87,3.70
Kevin,Jones,F,Regular Season,(2012-13),(2012-13),32,0,334,43,107,40%,0,0,,9,15,60%,38,40,78,10,9,5,8,25,95,,---,---,10.44,1.34,3.34,40%,0.00,0.00,,0.28,0.47,60%,1.19,1.25,2.44,0.31,0.28,0.16,0.25,0.78,2.97
Dwayne,Jones,F-C,Regular Season,(2005-06),(2009-10),82,0,636,33,65,51%,0,1,0%,41,83,49%,86,105,191,12,11,29,26,112,107,,---,---,7.76,0.40,0.79,51%,0.00,0.01,0%,0.50,1.01,49%,1.05,1.28,2.33,0.15,0.13,0.35,0.32,1.37,1.30
Damon,Jones,G,Regular Season,(1998-99),(2008-09),657,114,"13,461","1,517","3,730",41%,941,"2,414",39%,351,483,73%,115,959,"1,074","1,806",257,20,551,688,"4,326",,---,---,20.49,2.31,5.68,41%,1.43,3.67,39%,0.53,0.74,73%,0.18,1.46,1.63,2.75,0.39,0.03,0.84,1.05,6.58
Fred,Jones,G-F,Regular Season,(2002-03),(2008-09),430,78,"10,299","1,090","2,651",41%,346,979,35%,680,841,81%,157,801,958,990,336,115,511,831,"3,206",,---,---,23.95,2.53,6.17,41%,0.80,2.28,35%,1.58,1.96,81%,0.37,1.86,2.23,2.30,0.78,0.27,1.19,1.93,7.46
Eddie,Jones,G-F,Regular Season,(1994-95),(2007-08),954,902,"32,778","4,932","11,286",44%,"1,546","4,147",37%,"2,745","3,394",81%,761,"3,096","3,857","2,812","1,620",580,"1,507","2,483","14,155",,---,---,34.36,5.17,11.83,44%,1.62,4.35,37%,2.88,3.56,81%,0.80,3.25,4.04,2.95,1.70,0.61,1.58,2.60,14.84
Bobby R.,Jones,F,Regular Season,(2006-07),(2007-08),91,7,867,103,233,44%,19,62,31%,63,92,68%,51,98,149,44,26,4,46,144,288,,---,---,9.53,1.13,2.56,44%,0.21,0.68,31%,0.69,1.01,68%,0.56,1.08,1.64,0.48,0.29,0.04,0.51,1.58,3.16
Jumaine,Jones,F,Regular Season,(1999-00),(2006-07),471,115,"9,780","1,294","3,052",42%,425,"1,218",35%,312,443,70%,552,"1,435","1,987",408,307,144,388,870,"3,325",,---,---,20.76,2.75,6.48,42%,0.90,2.59,35%,0.66,0.94,70%,1.17,3.05,4.22,0.87,0.65,0.31,0.82,1.85,7.06
Mark,Jones,G,Regular Season,(2004-05),(2004-05),10,0,116,9,31,29%,0,4,0%,5,10,50%,6,7,13,6,5,2,3,16,23,,---,---,11.60,0.90,3.10,29%,0.00,0.40,0%,0.50,1.00,50%,0.60,0.70,1.30,0.60,0.50,0.20,0.30,1.60,2.30
Popeye,Jones,F,Regular Season,(1993-94),(2003-04),535,304,"12,579","1,574","3,523",45%,25,89,28%,553,736,75%,"1,623","2,358","3,981",696,300,161,603,"1,501","3,726",,---,---,23.51,2.94,6.59,45%,0.05,0.17,28%,1.03,1.38,75%,3.03,4.41,7.44,1.30,0.56,0.30,1.13,2.81,6.96
Alvin,Jones,F,Regular Season,(2001-02),(2001-02),23,2,126,8,20,40%,0,0,,10,20,50%,13,23,36,3,3,9,11,35,26,,---,---,5.48,0.35,0.87,40%,0.00,0.00,,0.43,0.87,50%,0.57,1.00,1.57,0.13,0.13,0.39,0.48,1.52,1.13
Charles R.,Jones,G,Regular Season,(1998-99),(1999-00),85,5,"1,138",105,324,32%,58,179,32%,28,45,62%,26,78,104,135,48,10,57,76,296,,---,---,13.39,1.24,3.81,32%,0.68,2.11,32%,0.33,0.53,62%,0.31,0.92,1.22,1.59,0.56,0.12,0.67,0.89,3.48
Charles,Jones,F-C,Regular Season,(1983-84),(1997-98),726,408,"14,095",725,"1,510",48%,0,6,0%,376,608,62%,"1,112","2,141","3,253",623,442,"1,134",487,"2,079","1,826",,---,---,19.41,1.00,2.08,48%,0.00,0.01,0%,0.52,0.84,62%,1.53,2.95,4.48,0.86,0.61,1.56,0.67,2.86,2.52
Dontae',Jones,F,Regular Season,(1997-98),(1997-98),15,0,91,19,57,33%,6,23,26%,0,0,,3,6,9,5,2,3,11,12,44,,---,---,6.07,1.27,3.80,33%,0.40,1.53,26%,0.00,0.00,,0.20,0.40,0.60,0.33,0.13,0.20,0.73,0.80,2.93
Askia,Jones,G,Regular Season,(1994-95),(1994-95),11,0,139,15,44,34%,2,12,17%,13,16,81%,6,5,11,16,6,0,9,19,45,,---,---,12.64,1.36,4.00,34%,0.18,1.09,17%,1.18,1.45,81%,0.55,0.45,1.00,1.45,0.55,0.00,0.82,1.73,4.09
Caldwell,Jones,C-F,Regular Season,(1976-77),(1989-90),"1,068",409,"26,474","2,554","5,395",47%,2,31,6%,"1,479","1,965",75%,"2,042","5,621","7,663","1,347",480,"1,517","1,596","3,527","6,589",,---,---,24.79,2.39,5.05,47%,0.00,0.03,6%,1.38,1.84,75%,1.91,5.26,7.18,1.26,0.45,1.42,1.49,3.30,6.17
Anthony,Jones,G-F,Regular Season,(1986-87),(1989-90),164,4,"1,704",234,595,39%,15,49,31%,111,150,74%,87,127,214,119,85,38,96,176,594,,---,---,10.39,1.43,3.63,39%,0.09,0.30,31%,0.68,0.91,74%,0.53,0.77,1.30,0.73,0.52,0.23,0.59,1.07,3.62
Charles A.,Jones,F,Regular Season,(1984-85),(1988-89),201,32,"3,009",365,740,49%,1,9,11%,284,465,61%,269,489,758,206,98,108,234,313,"1,015",,---,---,14.97,1.82,3.68,49%,0.00,0.04,11%,1.41,2.31,61%,1.34,2.43,3.77,1.02,0.49,0.54,1.16,1.56,5.05
Shelton,Jones,F,Regular Season,(1988-89),(1988-89),51,34,682,93,209,44%,0,1,0%,58,80,73%,32,81,113,42,21,15,47,58,244,,---,---,13.37,1.82,4.10,44%,0.00,0.02,0%,1.14,1.57,73%,0.63,1.59,2.22,0.82,0.41,0.29,0.92,1.14,4.78
Bill,Jones,F,Regular Season,(1988-89),(1988-89),37,0,307,50,102,49%,0,1,0%,29,43,67%,20,27,47,20,17,6,18,38,129,,---,---,8.30,1.35,2.76,49%,0.00,0.03,0%,0.78,1.16,67%,0.54,0.73,1.27,0.54,0.46,0.16,0.49,1.03,3.49
Bobby,Jones,F,Regular Season,(1976-77),(1985-86),774,123,"20,177","3,412","6,199",55%,0,16,0%,"2,087","2,674",78%,"1,288","2,968","4,256","1,888","1,050",982,"1,217","2,104","8,911",,---,---,26.07,4.41,8.01,55%,0.00,0.02,0%,2.70,3.45,78%,1.66,3.83,5.50,2.44,1.36,1.27,1.57,2.72,11.51
Edgar,Jones,F-C,Regular Season,(1980-81),(1985-86),363,91,"6,960","1,207","2,384",51%,16,61,26%,827,"1,164",71%,562,"1,183","1,745",331,220,455,563,"1,164","3,257",,---,---,19.17,3.33,6.57,51%,0.04,0.17,26%,2.28,3.21,71%,1.55,3.26,4.81,0.91,0.61,1.25,1.55,3.21,8.97
Ozell,Jones,C-F,Regular Season,(1984-85),(1985-86),70,6,906,106,182,58%,0,1,0%,33,83,40%,65,175,240,56,32,58,64,144,245,,---,---,12.94,1.51,2.60,58%,0.00,0.01,0%,0.47,1.19,40%,0.93,2.50,3.43,0.80,0.46,0.83,0.91,2.06,3.50
Earl,Jones,C,Regular Season,(1984-85),(1985-86),14,0,50,5,13,38%,0,0,,3,4,75%,4,6,10,4,0,1,8,13,13,,---,---,3.57,0.36,0.93,38%,0.00,0.00,,0.21,0.29,75%,0.29,0.43,0.71,0.29,0.00,0.07,0.57,0.93,0.93
Major,Jones,F,Regular Season,(1979-80),(1984-85),374,15,"5,063",678,"1,385",49%,1,9,11%,286,488,59%,518,805,"1,323",215,133,169,367,623,"1,643",,---,---,13.54,1.81,3.70,49%,0.00,0.02,11%,0.76,1.30,59%,1.39,2.15,3.54,0.57,0.36,0.45,0.98,1.67,4.39
Hutch,Jones,F,Regular Season,(1982-83),(1983-84),13,0,103,17,40,43%,0,0,,7,10,70%,10,7,17,4,4,0,8,14,41,,---,---,7.92,1.31,3.08,43%,0.00,0.00,,0.54,0.77,70%,0.77,0.54,1.31,0.31,0.31,0.00,0.62,1.08,3.15
Mark A.,Jones,G,Regular Season,(1983-84),(1983-84),6,0,16,3,6,50%,0,1,0%,1,2,50%,2,0,2,5,0,0,2,2,7,,---,---,2.67,0.50,1.00,50%,0.00,0.17,0%,0.17,0.33,50%,0.33,0.00,0.33,0.83,0.00,0.00,0.33,0.33,1.17
Dwight,Jones,F-C,Regular Season,(1973-74),(1982-83),766,20,"16,452","2,459","5,216",47%,1,2,50%,"1,311","1,772",74%,"1,456","3,057","4,513",911,429,397,771,"2,077","6,230",,---,---,21.48,3.21,6.81,47%,0.00,0.00,50%,1.71,2.31,74%,1.90,3.99,5.89,1.19,0.56,0.52,1.01,2.71,8.13
Wil,Jones,F,Regular Season,(1976-77),(1977-78),159,,"4,420",664,"1,533",43%,---,---,---,250,342,73%,324,614,938,305,172,123,137,560,"1,578",,---,---,27.80,4.18,9.64,43%,---,---,---,1.57,2.15,73%,2.04,3.86,5.90,1.92,1.08,0.77,0.86,3.52,9.92
Robin,Jones,F-C,Regular Season,(1976-77),(1977-78),75,,"1,131",150,319,47%,---,---,---,70,119,59%,108,202,310,82,38,39,7,140,370,,---,---,15.08,2.00,4.25,47%,---,---,---,0.93,1.59,59%,1.44,2.69,4.13,1.09,0.51,0.52,0.09,1.87,4.93
Jimmy,Jones,G,Regular Season,(1974-75),(1976-77),140,,"2,590",362,717,50%,---,---,---,177,240,74%,69,203,272,283,111,15,---,321,901,,---,---,18.50,2.59,5.12,50%,---,---,---,1.26,1.71,74%,0.49,1.45,1.94,2.02,0.79,0.11,---,2.29,6.44
Rich,Jones,F-C,Regular Season,(1976-77),(1976-77),34,,877,134,348,39%,---,---,---,92,121,76%,48,146,194,46,38,11,---,109,360,,---,---,25.79,3.94,10.24,39%,---,---,---,2.71,3.56,76%,1.41,4.29,5.71,1.35,1.12,0.32,---,3.21,10.59
Wali,Jones,G,Regular Season,(1964-65),(1975-76),607,,"14,420","2,478","6,054",41%,---,---,---,"1,184","1,480",80%,0,9,"1,394","1,947",6,0,---,"1,695","6,140",,---,---,23.76,4.08,9.97,41%,---,---,---,1.95,2.44,80%,0.00,0.01,2.30,3.21,0.01,0.00,---,2.79,10.12
Steve,Jones,G-F,Regular Season,(1975-76),(1975-76),64,,819,168,380,44%,---,---,---,78,94,83%,13,62,75,63,17,6,---,96,414,,---,---,12.80,2.63,5.94,44%,---,---,---,1.22,1.47,83%,0.20,0.97,1.17,0.98,0.27,0.09,---,1.50,6.47
Larry,Jones,G-F,Regular Season,(1964-65),(1973-74),95,,"2,235",310,775,40%,---,---,---,234,287,82%,71,113,241,270,85,18,---,162,854,,---,---,23.53,3.26,8.16,40%,---,---,---,2.46,3.02,82%,0.75,1.19,2.54,2.84,0.89,0.19,---,1.71,8.99
Nick,Jones,G,Regular Season,(1967-68),(1971-72),188,,"2,264",393,951,41%,---,---,---,217,281,77%,---,---,216,247,---,---,---,385,"1,003",,---,---,12.04,2.09,5.06,41%,---,---,---,1.15,1.49,77%,---,---,1.15,1.31,---,---,---,2.05,5.34
Jake,Jones,G,Regular Season,(1971-72),(1971-72),17,,202,28,72,39%,---,---,---,20,31,65%,---,---,26,12,---,---,---,22,76,,---,---,11.88,1.65,4.24,39%,---,---,---,1.18,1.82,65%,---,---,1.53,0.71,---,---,---,1.29,4.47
Sam,Jones,G-F,Regular Season,(1957-58),(1968-69),871,---,"24,285","6,271","13,745",46%,---,---,---,"2,869","3,572",80%,---,---,"4,305","2,209",---,---,---,"1,735","15,411",,---,---,27.88,7.20,15.78,46%,---,---,---,3.29,4.10,80%,---,---,4.94,2.54,---,---,---,1.99,17.69
Johnny,Jones,F,Regular Season,(1967-68),(1967-68),51,---,475,86,253,34%,---,---,---,42,68,62%,---,---,114,26,---,---,---,60,214,,---,---,9.31,1.69,4.96,34%,---,---,---,0.82,1.33,62%,---,---,2.24,0.51,---,---,---,1.18,4.20
K.C.,Jones,G,Regular Season,(1958-59),(1966-67),676,---,"17,501","1,919","4,961",39%,---,---,---,"1,173","1,814",65%,---,---,"2,399","2,908",---,---,---,"1,816","5,011",,---,---,25.89,2.84,7.34,39%,---,---,---,1.74,2.68,65%,---,---,3.55,4.30,---,---,---,2.69,7.41
Willie A.,Jones,G,Regular Season,(1960-61),(1964-65),272,---,"4,568",846,"2,153",39%,---,---,---,324,475,68%,---,---,767,545,---,---,---,658,"2,016",,---,---,16.79,3.11,7.92,39%,---,---,---,1.19,1.75,68%,---,---,2.82,2.00,---,---,---,2.42,7.41
